,variant,n_variables,depth,total_fidelity,compilation_time,n_1q_gate,n_2q_gate,execution_time
0,a,20,1,0.012329810207943053,1.6084339618682861,574,519,0.12957319999999908
1,b,20,1,0.013538671481663366,3.246309995651245,530,494,0.1286705999999991
2,c,20,1,0.011724135132805876,1.5662510395050049,576,513,0.13258169999999903
3,d,20,1,0.008688476591176362,1.654442310333252,610,556,0.14159769999999888
4,e,20,1,0.011067506206140783,1.5672166347503662,568,503,0.13197879999999904
5,f,20,1,0.012948405055432984,1.5402460098266602,537,492,0.1226595999999992
6,g,20,1,0.019432426790668825,3.326568365097046,535,495,0.1280691999999991
7,h,20,1,0.01978669589460134,1.5961618423461914,556,516,0.12927299999999908
8,i,20,1,0.014823530424940423,1.5862135887145996,567,497,0.1286730999999991
9,j,20,1,0.005661438903785424,1.6349472999572754,577,532,0.1406995999999989
10,a,50,1,1.1791145298911367e-07,6.471318006515503,1690,1593,0.39323260000000765
11,b,50,1,6.331399615914925e-08,4.7652716636657715,1778,1657,0.38782050000000723
12,c,50,1,1.692565191163931e-07,6.7156713008880615,1781,1660,0.39473860000000777
13,d,50,1,1.0142366467433231e-07,4.80957293510437,1766,1647,0.40285250000000833
14,e,50,1,2.4641280297218576e-08,6.699227333068848,1812,1662,0.3992496000000081
15,f,50,1,9.809702566970778e-08,4.664677619934082,1703,1604,0.3812121000000067
16,g,50,1,9.204336300142596e-08,6.710667371749878,1776,1655,0.40646590000000865
17,h,50,1,5.6835554669342856e-08,4.957227945327759,1783,1660,0.4073635000000087
18,i,50,1,3.529985502841969e-08,6.772789478302002,1819,1676,0.40165870000000825
19,j,50,1,2.0598163982479083e-07,4.671478033065796,1748,1623,0.38661670000000714
20,a,75,1,1.570719179554746e-12,9.998884916305542,2799,2613,0.616015300000003
21,b,75,1,1.91726119063e-12,10.246027708053589,2777,2598,0.579934300000007
22,c,75,1,2.1202964187851418e-12,10.803071022033691,2870,2646,0.5994828000000049
23,d,75,1,9.191499952422086e-13,10.773508310317993,2883,2653,0.625333000000002
24,e,75,1,5.993277406458903e-12,10.28279161453247,2756,2588,0.5856441000000063
25,f,75,1,1.3914522256628273e-12,8.65052318572998,2892,2663,0.5925752000000056
26,g,75,1,1.2119611850328842e-12,10.808339357376099,2825,2610,0.6057900000000042
27,h,75,1,3.885016048370925e-12,10.647391557693481,2809,2591,0.5910612000000057
28,i,75,1,5.904067326068565e-12,10.423825979232788,2759,2545,0.5736311000000077
29,j,75,1,2.4866050956169655e-12,10.75784420967102,2852,2638,0.6100018000000037
30,a,100,1,1.2632281410814086e-17,17.004514932632446,3898,3643,0.8583274999999764
31,b,100,1,8.724113323891702e-18,14.862294912338257,3986,3655,0.8120566999999815
32,c,100,1,1.4101351781932453e-17,14.969316244125366,3872,3651,0.8324732999999792
33,d,100,1,1.5962948826682075e-17,17.74093461036682,3957,3672,0.806638099999982
34,e,100,1,6.812525597844544e-18,18.54725694656372,3932,3677,0.8306680999999795
35,f,100,1,2.2285997152623172e-17,17.22396206855774,3881,3611,0.8150371999999811
36,g,100,1,2.9114432335341227e-17,17.147417545318604,3901,3597,0.7973113999999831
37,h,100,1,1.9557716201615453e-17,17.28100824356079,3916,3639,0.816850399999981
38,i,100,1,4.0793970320261865e-18,21.59189748764038,3956,3649,0.8351920999999789
39,j,100,1,3.075504748026419e-17,18.990641355514526,3955,3654,0.8445012999999779
40,a,150,1,1.1839398469794338e-28,35.93245553970337,6126,5696,1.2482748999999338
41,b,150,1,1.9066616352381186e-28,32.17548966407776,6219,5680,1.1995999999999392
42,c,150,1,7.72833202928576e-29,37.83185791969299,6099,5675,1.2146224999999375
43,d,150,1,8.045764925895811e-28,31.04995346069336,6066,5620,1.182141899999941
44,e,150,1,5.607823899188318e-29,36.683974742889404,6178,5717,1.2597034999999326
45,f,150,1,4.3252146552293055e-28,35.59988188743591,6145,5655,1.2209266999999369
46,g,150,1,2.8644268070098156e-28,41.17034959793091,6023,5643,1.210402699999938
47,h,150,1,3.077511185271274e-28,32.69349527359009,6073,5621,1.1869525999999404
48,i,150,1,5.0502967407157555e-28,30.924339532852173,5979,5576,1.217302799999937
49,j,150,1,1.4927867352760988e-28,32.32081985473633,6105,5660,1.236261399999935
50,a,250,1,7.301023320923765e-51,70.8520884513855,10415,9604,2.014651699999857
51,b,250,1,1.580923408302286e-52,72.85426926612854,10500,9647,1.9704972999998545
52,c,250,1,1.4810360617944082e-51,69.40508532524109,10273,9558,1.9355810999998582
53,d,250,1,5.258184019770698e-52,72.3949842453003,10332,9574,1.9605561999998555
54,e,250,1,5.053763520063532e-52,60.88064241409302,10337,9588,1.890520599999863
55,f,250,1,1.9747433528372702e-53,56.5372314453125,10404,9592,1.937713999999858
56,g,250,1,4.986354805288892e-52,67.41982913017273,10557,9690,2.0200792999998605
57,h,250,1,7.355022202236114e-52,58.98764252662659,10502,9644,1.9981411999998513
58,i,250,1,6.885193748771817e-53,55.25639271736145,10399,9589,2.0005377999998513
59,j,250,1,2.880722788604084e-51,57.77992272377014,10381,9598,1.9990317999998513
