,instance_type,instance_info,qaoa_depth,n_variables,geyser_iterations,runtime,execution_time,n_pulses
35,stored,uf20-01.cnf,1,20,10,1684.639129608,348.5999999999963,2556
36,stored,uf20-02.cnf,1,20,10,1144.4743541379576,312.999999999997,2388
37,stored,uf20-03.cnf,1,20,10,2007.0291727100264,320.9999999999968,2451
38,stored,uf20-04.cnf,1,20,10,1413.4324719340077,343.8999999999964,2637
39,stored,uf20-05.cnf,1,20,10,1630.036550313991,332.8999999999965,2559
40,stored,uf20-06.cnf,1,20,10,1530.0237932309974,327.39999999999674,2481
41,stored,uf20-07.cnf,1,20,10,1574.9537247680128,322.7999999999968,2502
42,stored,uf20-08.cnf,1,20,10,1380.8611210120143,318.69999999999686,2620
43,stored,uf20-09.cnf,1,20,10,1472.602775812964,340.49999999999653,2418
44,stored,uf20-010.cnf,1,20,10,1657.120941785979,363.3999999999961,2656
